entity_id,vehicle_id,vehicle_label,trip_id,route_id,route_short_name,route_long_name,direction_id,trip_headsign,latitude,longitude,bearing,speed_mps,current_status,stop_id,stop_name,timestamp_local,feed_header_timestamp_local
vehicle_position_68335,68335,Autobuss 46,AUTO46-01-1-260323-ab-1400,,,,,,56.901954650878906,24.102689743041992,4.0,0.0,2,1341,Ziepniekkalna D/P,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
vehicle_position_68346,68346,Autobuss 43,AUTO43-02-1-260323-ab-1400,,,,,,56.945709228515625,24.13140106201172,102.0,0.0,2,7749c,Abrenes iela,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
vehicle_position_68368,68368,Autobuss 13,AUTO13-03-1-260323-ab-1310,,,,,,56.95391082763672,24.107152938842773,58.0,0.0,2,0060,Brīvības bulvāris,2026-04-01T13:56:17+03:00,2026-04-01T13:56:21+03:00
vehicle_position_68390,68390,Autobuss 8,AUTO8-03-1-260323-ba-1320,,,,,,56.946224212646484,24.115917205810547,60.0,0.0,2,1028,Stacijas laukums,2026-04-01T13:56:14+03:00,2026-04-01T13:56:21+03:00
vehicle_position_68400,68400,Autobuss 37,AUTO37-01-1-260323-ba-1400,,,,,,56.95926284790039,23.99738883972168,170.0,4.440000057220459,2,1062a,Imantas D/P,2026-04-01T13:56:14+03:00,2026-04-01T13:56:21+03:00
vehicle_position_68411,68411,Autobuss 4,AUTO4-04-1-260323-ab-1330,,,,,,56.95228576660156,24.02474021911621,272.0,3.890000104904175,2,1461,Imantas 7.līnija,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
vehicle_position_68422,68422,Autobuss 13,AUTO13-01-1-260323-ba-1350,,,,,,56.93158721923828,24.193355560302734,254.0,10.0,2,0160,Ilūkstes iela,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
vehicle_position_68444,68444,Autobuss 46,AUTO46-04-1-260323-ab-1310,,,,,,56.96898651123047,24.01753807067871,310.0,0.0,2,1058,Rigondas gatve,2026-04-01T13:56:14+03:00,2026-04-01T13:56:21+03:00
vehicle_position_68466,68466,Autobuss 21,AUTO21-02-1-260323-ba-1350,,,,,,56.96125030517578,24.2385196685791,4.0,9.170000076293945,2,0543,Mežciema pamatskola,2026-04-01T13:56:18+03:00,2026-04-01T13:56:21+03:00
vehicle_position_68477,68477,Autobuss 21,AUTO21-10-1-260323-ba-1250,,,,,,56.95662307739258,24.052631378173828,360.0,7.78000020980835,2,1119,Sēlpils iela/Donoru centrs,2026-04-01T13:56:17+03:00,2026-04-01T13:56:21+03:00
